53,1.0015,0.9902,0.998,0.9912,1.0016
54,0.9956,0.9907,0.981,0.9922,1.0011
55,0.9897,1.0063,0.9858,1.0005,1.0016
56,1.0015,0.9932,0.9932,0.9917,0.9811
57,1.0015,0.9849,0.9902,0.9868,1.0109
58,0.9878,0.9971,0.9941,0.998,1.0007
59,0.9902,0.999,1.0024,0.9922,0.9953
60,0.9893,0.9966,0.9927,0.9907,0.9977
61,0.9883,0.999,1.0049,1.0151,1.0036
62,0.9902,0.9888,1.0029,1.0088,0.9948
63,0.9976,0.9858,0.9888,0.9805,0.9909
64,1,0.9863,0.9868,1,1.0011
65,1.0024,0.9946,0.9976,1.0156,0.987
66,1.0034,1.0015,0.999,1.0059,0.9836
67,0.9966,1.001,1.0005,1.0024,1.0007
68,0.9937,1.0083,1.0098,0.998,0.9938
69,0.9883,0.9873,1.0015,0.9922,1.0016
70,1.0146,0.9751,0.9888,1.0068,0.9992
71,1.0063,0.9917,0.9971,1.019,1.0021
72,0.9878,0.9961,1.0103,1.0034,1.0011
73,0.9897,0.9966,1.0083,0.9897,1.007
74,0.9995,1,0.9897,0.9966,1.005
75,0.9995,1,0.9868,0.9956,1.0031
76,0.9956,0.9839,1.0054,0.9893,1.005
77,0.9927,0.9883,0.9961,0.9951,1.0036
78,0.9917,1.0112,0.9917,0.9976,1.0026
79,0.9937,1.0156,0.9878,1.0088,1.008
80,0.9873,0.9854,0.9751,1.0093,1.008
81,0.9946,0.9795,0.9878,0.999,0.985
82,0.9946,0.9941,1.0054,0.9995,1.0031
83,0.9912,1.001,0.9951,1.0005,1.0016
84,0.9961,0.9951,0.9956,1.0034,1.0016
85,0.9985,0.9912,0.9941,0.9985,0.9982
86,0.9912,0.9966,1.0044,0.9907,0.9967
87,0.9927,1.0039,1.0044,0.9902,1.0016
88,0.9961,1.0049,0.9985,1.0176,1.0011
89,0.9946,1,1.0015,1.0215,0.9992
90,0.9971,0.9917,0.999,1.0054,0.9919
91,0.9907,1.0005,0.9985,0.999,0.9977
92,0.9937,1.0034,0.9995,1.0049,1.0055
93,0.9966,0.9927,0.9951,1.0083,1.0026
94,0.9976,0.9951,0.9985,1.0039,1.0021
95,0.9995,0.999,0.9976,0.9951,1.008
96,0.9971,0.9907,0.9985,0.9844,1.006
97,1.0024,1.0137,1.0103,0.9985,1.0046
98,1.0024,1.0195,1.0176,1.0078,1.0085
99,0.9971,0.9888,1.0063,0.9922,1.0075
100,0.9932,0.9883,0.979,0.9932,1.0026
101,0.9941,0.9985,0.9854,1.0088,1.0036
102,1,0.9873,0.9941,1.0015,1.0055
103,0.999,0.999,0.9927,1,1.0026
104,0.9932,1.0039,0.9937,1.0205,1.0055
105,0.9941,0.9971,0.9976,0.9961,1.005
106,0.9932,0.9937,0.9937,0.979,0.9987
107,0.9946,1,0.9932,1.0005,1.0041
108,0.9863,0.9951,0.999,1.0078,0.9967
109,0.9849,0.9888,1,1.0005,0.9801
110,0.9971,0.9995,0.998,1.0107,1.0256
111,1.0034,0.9907,0.9932,1.002,0.9963
112,0.999,0.9771,0.9922,0.9961,0.9967
113,1.0005,0.9937,0.9985,1.0044,1.007
114,0.9956,1.0107,0.9927,1.0039,1.0007
115,1.0024,1.0151,0.9873,0.998,1.0031
116,0.9922,1.001,0.9863,0.998,0.9967
117,0.9927,1.0063,0.9844,1.0049,0.9967
118,1.001,0.9985,0.9834,0.999,0.9924
119,0.9941,0.9961,0.9956,1.0015,0.9972
120,0.9883,0.9937,0.9971,1.0176,0.9884
121,0.9976,0.9912,0.9893,1.0049,0.9943
122,1.0015,0.9932,0.9805,0.9941,0.9943
123,0.9971,0.9961,0.9888,0.9893,0.9841
124,0.9907,0.9927,1.0132,0.9961,0.9967
125,0.9927,0.999,1.0112,0.9956,0.9875
126,0.998,1.0005,0.9937,1.0015,0.9889
127,0.9995,0.9897,0.9883,1.0039,0.9933
128,0.9873,0.9941,0.9941,1.0088,1.0011
129,0.9688,0.9912,1.0068,1.0088,0.9977
130,0.9805,0.9971,1.0132,1.0015,0.9992
131,0.9912,1.0068,1.0029,0.9941,0.9992
132,0.9995,0.9941,0.9932,0.999,1.0007
133,0.9932,0.981,0.9907,0.9941,1.006
134,1.0049,0.9995,0.9922,0.9849,1.0002
135,1.0112,0.999,0.9883,0.998,1.0021
136,1.0015,0.98,0.9893,0.9922,1.0026
